"pealkiri","liik","aasta","tekst"
"Kärla Põllumajandusühistu agromajanduslik analüüs aastatel 2012-2014","1. Bakalaureusetööd","2015","Käesoleva uurimustöö eesmärgiks oli koostada agromajanduslik analüüs Kärla
Põllumajandusühistu söödatootmise ja maakasutusstruktuuri kohta aastatel 2012-2014.
Ettevõttel on 1451 ha haritavat maad söödatootmiseks, mis peaks täielikult ära katma
põhisööda vajaduse loomakasvatuses. Aga viimasel kahel aastal on põhisöötade tootmine
olnud siiski väiksem, kui selle vajadus loomakasvatuses. Selleks, et leida lahendusi
söödatootmise suurendamiseks, uuriti ettevõtte muldasid ja maakasutust. Võrreldi
taimekasvatustoodangu omahindasid aastate lõikes, missugused tegurid põhjustasid omahinna
muutusi. Prognoositi omahinna kujunemist, kui investeerida rohumaade uuendamisse ja
muuta maakasutusstruktuuri. Muldade uurimisel kasutati Põllumajandusuuringute Keskuse
Mullaseire büroo käest saadud andmeid ettevõtte mullaliikide, -lõimiste, -boniteetide ja 2013
aastal tehtud mullaanalüüside kohta. Uurimise käigus selgus, et ettevõte on eelnevatel aastatel
tugevalt investeerinud loomakasvatushoonetesse, loomade heaolusse ja tehnikasse, mida
näitab piimatoodangu pidev tõus, mis 2014 aastal oli JKK andmetel 10267 kg lehma kohta.
Samas on näha, et ettevõtte investeeringud maade uuendamisse on jäänud tahaplaanile, 5
aasta jooksul 2007-2011 on rohumaid uuendatud kokku 180 ha, mida on ilmselgelt vähe.
Rohkem on alustatud rohumaade uuendamisega alates 2012 aastast, kui uuendati 122 ha, 
kolme aastaga 2012-2014 uuendati kokku 440 hektarit. Suurema rohumaade uuendamise
põhjuseks oli see, et saada kvaliteetsemat ja suuremat saaki oma maadelt, et kasutada
maaressurssi efektiivsemalt. Uurimistöö käigus selgus, et ettevõte peaks senisest rohkem
uuendama rohumaid ca 200-250 ha aastas, sellega tõstetakse rohumaade saagikust ja vabaneb
maaressurssi. See annab võimaluse kasvatada teravilja oma loomade tarbeks, muutes ettevõtte
tegevuse läbi maaressursi efektiivsema kasutamise veelgi kasumlikumaks."
"TEUK XIII : taastuvate energiaallikate uurimine ja kasutamine : kolmeteistkümnenda konverentsi kogumik : [2011 : Tartu]","Konverentsid","2011","Eesti Maaülikoolis toimub 10. novembril 2011.a. konverents TEUK-XIII, mis
jätkab varasemate konverentside traditsiooni tuua kuulajateni valminud uurimistööde
kokkuvõtted, tutvustada projekte ja diskuteerida taastuvenergia valdkonna
hetkeseisu ja arengusuundade üle.
Konverentsi päevakavas on planeeritud aeg 9 ettekandele uurimistööde tulemustest,
millele järgnevad 3 avalikku diskussiooni sissejuhatavat ettekannet taastuvenergia
valdkonna arengutest Eestis. Lisaks suuliste ettekannete kuulamisele,
on külastajatel enne konverentsi algust võimalik tutvuda EMÜ tehnikainstituudi
laboritega ning konverentsi vaheaegadel stendi-ettekannete ning surugaasi autodega.

Esitlemisele tulevatest töödes on põhiliselt käsitlemist leidnud biogaasi või päikseenergia
küsimused, mis näitab teadus-arendustöö aktiivsuse kasvu nende teemadel.
Eesti Maaülikool on otsustanud anda tänukirja nende valdkondade aktiivsetele
arendajatele. Eesti Maaülikool annab tänukirja Leo Salustele tehtud töö
eest biogaasi valdkonna teabe levitamisel ja valdkonna arendamisel ning Teolan
Tomsonile päikeseenergia pikaajalise uurimistöö ja arendustöö eest.
Käesolev aasta on olnud vastandlike arvamuste ja arutelude aasta taastuvenergiaja
elektrijaamade investeeringutoetuste ümber. Käimasolevatest ühiskondlikest ja
poliitilistest aruteludest sõltub energeetika areng Eestis, eriti uute tehnoloogiate
kasutuselevõtu tempo ning fossiilenergia ja taastuvenergia ressursside kasutamise
mahud. Loodame, et energeetika arendamine jätkub ja meil on võimalik Eestis
lähikümnenditel jõuda taastuvatel energiaallikatel põhineva jätkusuutliku energiavarustuse
loomiseni. Mõttevahetuseks aktuaalsetel teemadel toimub konverentsi
lõpus avalik diskussioon „Taastuvenergia toetused. Kuidas edasi?“
Tere tulemast konverentsile ja huvitavaid ettekandeid ning arutelusid!
Argo Normak, Eesti Maaülikooli taastuvenergia keskuse juhataja"
"Idufirmade paiknemine ja asukoha valiku kriteeriumid Tartu linnas","1. Bakalaureusetööd","2021","Idufirmadel on potentsiaali olla majanduslikult edukamad kui traditsioonilised ettevõtted
ning nende asutamine on kasvutrendis. Seetõttu on oluline, et KOV aitaks nende arengule 
linnas kaasa. Üks tegur, mis võimaldaks seda teha, on teadmine, kuhu ja mille alusel 
idufirmade asukohad valitud on. Käesoleva bakalaureusetöö eesmärk on välja selgitada 
idufirmade asukohad ja nende valiku kriteeriumid Tartu linnas. Empiirilise osa analüüs 
koosneb teisestest andmetest, mille alusel on koostatud Tartu linnas tegutsevate 
idufirmade üldiseloomustus ja kaardistatud ettevõtted ning esmastest andmetest, mille 
alusel on välja selgitatud idufirmade asukoha valiku kriteeriumid. Uuringust selgus, et 
idufirmad on koondunud peamiselt teadus- ja uurimisasutustesse ning Tartu kesklinna 
piirkonda. Peamised kriteeriumid asukoha valikul on sarnased traditsioonilistele 
ettevõtetele ning need on seotud kontoripinna, Tartu linna poolt mõjutatavate tegurite ja
KOVi panustega ettevõtluse arendamisse. Uuringus osalenud idufirma esindajad leiavad, 
et Tartu linn saaks ettevõtluskeskkonda parandada läbi erinevate idufirmadele suunatud 
ürituste korraldamise, ettevõtetega pidevassuhtluses olemise ja reklaamimise, soodustuste 
tegemise, rahvusvahelisele talendile panustamise ja idulinnaku loomise."
"Mahepõllumajanduslik piimakarjakasvatus","Raamatud","2009","Mahepõllumajanduslikus ehk ökoloogilises loomakasvatuses
lähtutakse eelkõige loomade heaolust.
Loom ei ole mitte pelgalt tootmisvahend, vaid elusolend,
kelle loomulikke vajadusi tuleb arvestada.
Loomad peavad saama võimalikult loomuomaselt
käituda ja süüa neile sobivat sööta.
Vajaminev sööt kasvatatakse peamiselt ettevõttes
kohapeal, mis tähendab, et loomade arv peab olema
kooskõlas põllumajandusmaa suurusega.
Looma- ja taimekasvatus on mahepõllumajandusettevõttes
ühe ja sama tootmistsükli osad. Taimekasvatus
toodab loomadele sööta, mille loomakasvatus
väärindab orgaaniliseks väetiseks põldudele,
suurendades mulla viljakust ja parandades
mulla struktuuri. Külvikorras aga aitavad rohumaad
umbrohtumust kontrolli all hoida. Taimekasvatuse
edukusest sõltuvad otseselt loomade tervis, juurdekasv
ja toodang."
"Tartu linna büroohoonete arenduste tasuvus ja prognoos","1. Bakalaureusetööd","2014","Tartu linna uut büroohoonet arendama hakates on tihti probleemiks korraliku
turuülevaate puudumine nende kohta. Töö eesmärgiks on teada saada Tartu linna
büroohoonete arenduste tasuvus ja prognoosid tulevikuks. Töö annab ülevaate, mis
seisus on hetkel Tartu linna äripindade ja büroohoonete turg – kas senised projektid on
olnud tasuvad, kas uutel projektidel on võimalik ja tasuv turule tulla ning millised
võiksid üleüldiselt olla prognoosid tulevikuks.
Töö jaoks vajalikke andmeid on kogutud Uus Maa Tartu kinnisvarabüroost, Maa-ameti
kodulehelt, Tartu Linnavalitsuselt, erinevate Tartu linna suuremate äripindade omanike
käest ning detailsemalt kahe büroohoone omaniku käest.
Töö tulemusena autori arvates tasub ja on reaalne Tartu linna uusi büroohooneid veel
arendada, kuid seda eeldusel, et enne on leitud kindel ankurüürnik ning lisaks on leitud
ka teisi üürnikke. Ilma kindla üürnikuta on töö autori arvates aredamine liialt riskantne,
tekitades nii võimaluse suureks vakantsuseks. Samuti tuleb hoolas olla asukoha ja
sihtgrupi valikul ning arvestada nende soove, kindlustamaks pindade täituvust. Kõige
potentsiaalsem ja tasuvam on autori arvates arendada kesklinna, kuna see on väga tihti
üürnike jaoks kõige atraktiivsem asukoht."
"Monoliidi-ja montaažtööde võrdlus ,,Mikonkatu11” objektil","2. Magistritööd","2014","Käesoleva magistritöö eesmärgiks on kahe erineva konstruktsiooni tüübi võrdlus 
kasutades Ratu kaarti ja reaalseid andmeid. Monoliidi-ja montaažitööde 
omavahelise maksumuse ja ajalise kulu võrdlemise kohta leidub väga palju vana 
informatsiooni ning eestikeelsete materjalide nappus on suur. Töö eesmärgiks on 
uurida kahe konstruktsiooni tüübi maksumusi ja selgitada antud objekti puhul 
majanduslikult kõige parem lahendus. 
 
Uuritud objekti raamtingimuste kohaselt arvutades selgus monoliitse 
konstruktsiooni teoreetiline maksumus 215284,20€. Monoliitse konstruktsiooni 
tegelikuks maksumuseks on 239092,20€ ja viimase variandina arvutati vastavalt 
lõputöös esitatud raamtingimustele montaažitööde teoreetiline maksumus 
218064,60€. 
 
Kõige odavamaks konstruktsiooni tüübiks kujunes teoreetiliste andmete põhjal 
arvutatud monoliitne raudbetoon- konstruktsioon. Monoliiditööde puhul võib 
suuremahuliste töödega objektil antud konstruktsioonitüübi maksumus kergesti 
kasvada. 
 
Antud teema puhul oleks huvitav jätkuuuringuna näha mõnda teoreetiliste ja 
tegelike montaažitööde maksumuse võrdlust."
"Inimeste suhtumisest suurulukitesse ja jahindusse","1. Bakalaureusetööd","2016","Töö eesmärgiks on uurida Eesti elanikkonna suhtumist suurulukitesse ja jahipidamisse, püüdes
selgitada naiste ja meeste, üldsuse ja ühe huvigrupi – jahimeeste meelsuse erinevust.
Töös antakse asjakohase kirjanduse põhjal ülevaade meil ja mujal maailmas tehtud analoogiliste
uurimuste tulemustest ning võrreldakse neid originaalandmetega, mis koguti ankeetküsitluse teel
Viljandi maakonnas.
Meie poolt kogutud andmete analüüsil selgus, et suurel määral naiste ja meeste vastuste vahel
erinevusi ei ole. Rohkem esineb erinevusi üldsuse ja jahimeeste vahel. Antud töö on osa
suuremast projektist, seega suurema andmemahu puhul võivad tulemused mõnevõrra veel
muutuda."
"Hinnang teatavate õhusaasteainete riiklike heitkoguste vähendamise direktiivi 2016/2284 lisas III toodud meetmete rakendamise võimalikkusele Eestis ning vastavate vähendamise meetmete efektiivsuse ja majandusliku tõhususe analüüs","Uuringute aruanded","2019","Vastavalt  Euroopa  Parlamendi  ja Nõukogu  direktiivile  (EL)  2016/2284,  mis  käsitleb  teatavate õhusaasteainete riiklike heitkoguste vähendamist, peavad Euroopa Liidu (EL) liikmesriigid piirama oma aastaseid  vääveldioksiidi  (SO2),  lämmastikoksiidide  (NOX),  lenduvate  orgaaniliste  ühendite  (välja arvatud  metaan),  ammoniaagi  (NH3)  ja  eriti  peenete  osakeste  (PM2,5)  inimtekkelisi  heitkoguseid vastavalt  riiklikele  heitkoguste  vähendamise  kohustustele. Eesti riiklike  heitkoguste  vähendamise kohustuste täitmiseks koostatakse   vastavalt   direktiivile   2016/2284/EL teatavate  õhusaasteainete heitkoguste  vähendamise  riiklik  programm  aastateks  2020–2030 (Õhusaasteainete vähendamise programm), milles   kajastatakse direktiivi   III   lisa   2.   osas sätestatud heitkoguste  vähendamise kohustuslikud meetmed. Programmi võidakse lisada  III  lisa  2.  osas toodud valikulisi  heitkoguste vähendamise meetmeid või võrdväärse leevendava mõjuga meetmeid. Õhusaasteainete  vähendamise  programmi koostamise   aluseks   on   Eesti ja EL   seadusandlus, riigisisesesed arengukavad ja valdkondlikud uuringud. Lisaks moodustati valdkondlikud töörühmad energeetika,  tööstusprotsesside,  transpordi,  põllumajanduse  ja  lahustite  valdkonnas,  kuhu  kuulusid asjaomaste  huvirühmade  esindajad.  Koosolekute  fookuseks  oli  saada   sisendit Õhusaasteainete vähendamise programmi eesmärkide saavutamiseks seatavate konkreetsete meetmete välja töötamiseks, kinnitada valituks osutunud meetmed ning vastavalt meetmete rakendumisele kinnitada õhusaasteainete heitkoguste prognoosid. Põllumajanduse töörühm keskendus peaasjalikult    NH3 heitkoguste vähendamismeetmetele 1, kuna ligi 90% NH3 heitkogustest on pärit põllumajandusest. Ammoniaagi heitkoguste  vähendamiseks tuleb arvestada ajakohastatud  ÜRO  Euroopa  Majandus-komisjoni juhenddokumendiga (2014) põllumajandusest pärineva ammoniaagi heitkoguste ennetamise ja vähendamise kohta (ammoniaagijuhend) ning kasutada parimat võimalikku tehnikat (PVT) kooskõlas direktiiviga 2010/75/EL. Eestis peavad PVT-d rakendama ettevõtted, millel on keskkonna kompleksloa omamise kohustus 2 (Rooma ja Valdmaa, 2007). Ammoniaagi heitkoguste kontrollimiseks kehtestatakse hea põllumajandustava (HPT) riiklik  soovituslik juhend, mille puhul võetakse arvesse ÜRO Euroopa Majanduskomisjoni    2014.    aasta HPT raamjuhendit  ammoniaagi  heitkoguste  vähendamiseks (raamjuhend) ja mis hõlmab vähemalt järgmist (Direktiiv 2016/2284/EL): 1.lämmastiku (N) käitlemine, arvestades kogu lämmastikuringet; 2.kariloomade söötmise strateegiad; 3.vähesaastavad sõnnikulaotustehnikad; 4.vähesaastavad sõnnikuladustamistehnikad; 5.vähesaastavad loomapidamise süsteemid; 6.mineraalväetiste kasutamisest tekkinud ammoniaagi heitkoguste piiramise võimalused. Esimene Eesti  HPT 3 anti välja 2001. aastal Keskkonnaministeeriumi ja Põllumajandusministeeriumi koostöös. HPT koostamise kohustus lähtus EL direktiivist  91/676/ MÜ veekogude  kaitsmise  kohta põllumajandusest lähtuva nitraadireostuse eest. HPT teise väljaande (2007. a) koostamisel lähtuti 2006. aasta algul kehtinud õigusaktidest ja EL liikmesriikide analoogilistest dokumentidest. 2007. aastal välja antud teine HPT koosneb järgnevatest peatükkidest: (Rooma ja Valdmaa, 2007) 1.põllumajanduse ja keskkonnakaitse vahelised seosed; 2.eluslooduse kaitse ja maastike mitmekesisus; 3.veehoid; 4.muldade säästev kasutamine ja kaitse; 5.väetised ja väetamine; 6.sõnniku keskkonnasäästlik kasutamine; 7.nõuded silohoidlatele; 8.taimekaitse; 9.maakasutuse korraldus; 10.maaparandus; 11.reoveekäitlus põllumajanduses; 12.nitraaditundlik ala. Kui  võrrelda  2007.  aasta HPT-d ja  raamjuhendis  toodud ammoniaagi  heitkoguste  vähendamise meetmeid, on näha, et vaatamata sellele, et HPT-s on põhjalikumalt käsitletud veereostuse vältimise ja vähendamise  abinõusid,  toetavad mitmed soovituslikud ja kohustuslikud HPT-s  toodud nõuded  ka ammoniaagi heitkoguste vähenemist (lisa1). Lisaks HPT-le aitavad NH3 heitkoguseid vähendada nõuded, mis on toodud Veeseaduses (lisa 2) ning määruses Veekaitsenõuded  väetise-ja  sõnnikuhoidlatele  ning  silo ladustamiskohtadele  ja  sõnniku, silomahla ja  muude  väetiste  kasutamise ja  hoidmise  nõuded (lisa  3) (RT  I,  04.07.2017,  50; RT  I, 16.08.2016, 6). Järgnevalt  on  analüüsitud  teatavate  õhusaasteainete riiklike  heitkoguste  vähendamise  direktiivi 2016/2284/EL lisas III toodud meetme rakendamise võimalikkust Eestis."
"Paelusside esinemine ja nende arvukuse mõju meriforelli (Salmo trutta morpha trutta) üldisele konditsioonile","1. Bakalaureusetööd","2016","Harrastuskalastajate andmetel esineb Põhja-Eesti rannikumerest tabatud meriforellide soolestikes arvukalt lintjaid usse. Soome lahe täiskasvanud meriforellide parasitoloogiat on
vähe uuritud. Käesoleva töö eesmärgiks on uurida paelusside esinemist Soome lahest püütud
meriforellides ning nende mõju kalade üldisele konditsioonile. Töös kasutatud materjal on
kogutud 2014. a. detsembrist 2016. a. veebruarini harrastuskalastajate poolt Põhja-Eesti
rannikult püütud meriforellidelt. Proove analüüsiti laboratoorselt Eesti Maaülikooli VLI
vesiviljeluse osakonna laboratooriumis. Uuritud valimis (35 kala) avastati paelussiga
Eubothrium crassum tabandumine (33 kala tabandunud). Paelusside arvukus meriforellide
soolestikes ei olnud siiski piisavalt kõrge, et mõjutada kalade üldist konditsiooni. Paelusside
arvukus ei olnud piirkondlikult erinev. Varasemad uuringud on tõestanud, et E. crassum võib
avaldada mõju lõheliste konditsioonile. Käesolevas töös uuritud meriforellidest olid peaaegu
kõik paelussiga tabandunud, kuid parasiitide arvukus ei olnud üheski kalas kriitiliselt kõrge.
Selle põhjuseks võib olla anadroomse meriforelli rändespetsiifika, E. crassumi soolase vee
vorm ei saa hakkama magevees, kus meriforell regulaarselt kudemas käib. E. crassumi
arvukuse võrdlemiseks erinevates piirkondades tuleks teostada edasiseid uuringuid, kuna
käesolevas töös kasutatud valim on statistiliseks uurimuseks liiga väike. Uurimustöö käigus
kogutud neeruproovide analüüsimisel on tulevikus võimalik võrrelda kas proliferatiivse
neeruhaiguse (PKD) kandvuse ja paelusside kandvuse vahel esineb seoseid, mis viitavad
erinevate parasiitide antagonismile peremeesorganismis."
"TEUK XIV : taastuvate energiaallikate uurimine ja kasutamine : neljateistkümnenda konverentsi kogumik : [2012 : Tartu]","Konverentsid","2012","Austatud lugejad! Käesolevas konverentsi kogumikus on artiklid
Eesti autoritelt, mis annavad ülevaate viimasel ajal tehtud taastuvenergia
valdkonna teadustööde ja projektide tulemustest. Praeguses
teaduse rahvusvahelistumise ajastul on teaduritel oluline säilitada
side kohaliku eluga ja levitada oma töö tulemusi eesti keeles. Suur
tänu autoritele, et nad oma uurimistööde tulemusi TEUK konverentsil
tutvustavad.
Taastuvenergia huviliste kohtumispaigana toimub konverents
TEUK-XIV Eesti Maaülikoolis 8. novembril 2012.a. Konverentsi
päevakavas on 11 suulist ettekannet energiamajanduse arendusest,
tuulegeneraatoritest, biokütuste tootmisest jmt. Lisaks on võimalik
tutvuda stendiettekannetega ja arutada ettekannete tulemusi
tööde autoritega.
Päeva lõpetusena toimub Eesti energiamajanduse hetkeseisu ja
arenguid käsitlev paneeldiskussioon „Taastuvenergia roll Eesti
energiaportfellis“. Käesoleval aastal on toimunud taastuvenergia
tootmise ja toetusmeetmete osas Eestis suuri muutusi ja algatatud
on tegevused Eesti pikaajalise energiamajanduse arengukava
uuendamiseks Eesti Arengufondi juhtimisel. Arutame taastuvenergia
ressursi kasutamist ja võimalikku rolli elektri- ja soojusenergia
ning transpordikütuste vajaduse katmisel pikaajalise vaatena kuni
aastani 2050.
Huvitavaid ettekandeid ja head lugemist!
Argo Normak, Eesti Maaülikooli taastuvenergia keskuse juhataja"
"Aasta muld 2019. Madalsoomuld : [teavik ja postkaart] ﻿","Aasta muld","2018","Eesti on üks märjemaid paiku maailmas: üle 22% on kaetud madalsoode ja rabadega. Tüüpilised madalsoomullad moodustavad ligi 14% meie muldkattest ja 59% turvasmuldadest. Kuivendamise ja põllumajandusliku kasutuse tõttu on nende osakaal praeguseks tõenäoliselt vähenenud. Madalsoomuldade suurimad levikualad on Kõrve-maa, Alutaguse, Lääne-Eesti ja Pärnu madalik, Võrtsjärve ja Valga nõgu, Peipsi-äärne madalik ning Pandivere kõrgustikku ümbritsevad madala-mad alad. Tekst: Enn Leedu, Merrit Shanskiy.   Fotod: Endla Reintam, Alar Astover. Kaart: Priit Penu, Tambet Kikas."
"Omanikujärelevalve kujunemise õiguslikud ja praktilised alused","2. Magistritööd","2013","Ehitussektoris igapäevaselt erinevates tegevusvaldkondades hõivatud osapooled
tunnetavad üha enam teiste ehitustegevusega seotud huvigruppide mõju nende endi
tegemistele, sh. omanikujärelevalve tegevuse nii positiivset kui paraku ka negatiivset
mõju. Teadaolevalt ei ole kogu ehitustegevuse keskse ja sellega tihedalt seotud
toiminguna omanikujärelevalve teostus miskipärast varasemalt lähemalt akadeemilist
uurimuslikku käsitlust leidnud. Seetõttu oli käesoleva magistritöö eesmärgiks ennekõike
uurida igapäevaselt ehitustegevusega seotud osapoolte vahelisi suhteid mõjutatuna
omanikujärelevalve teostamisest ehitusobjektidel ning anda sealjuures ka ülevaade
uuringusse kaasatud osapoolte vahelistest suhetest ehitustegevusega seonduvalt.
Koostatud magistritöö näol on tegemist teoreetilise-empiirilise tööga. Käsitletavale
tööle on loodud teoreetiline alus ehk arusaam omanikujärelevalve korralduse
printsipiaalsest ülesehitusest ning arvestades omanikujärelevalve teostamise empiiriaga,
on ehitustegevusega seotud huvigruppide esindajatega läbi viidud teemat käsitlevad
intervjuud. Läbi viidud uurimuse tulemuste põhjal on kaardistatud ja analüüsitud
ehitustegevusega seotud osapoolte vahelisi suhteid mõjutatuna omanikujärelevalve
tegevusest. Samuti on koondatud ettepanekud ja esitatud võimalikud lahendused
omanikujärelevalve tegevuse tõhustamiseks. Kuigi uurimus viidi läbi kohalikul tasandil,
võttes selle keskseks vaadeldavaks piirkonnaks Tartu ja Lõuna-Eesti, võib riigi suhtelise
territoriaalse väiksuse tõttu läbi viidud intervjuude tulemusi üldistavalt käsitleda kogu
Eesti kohta.
Kuigi igapäevases ehitustegevuses esineb üsna palju ehitussektori huvigruppide vahelisi
arusaamatusi, oleks neid laialdaste erialaste teadmiste ja -kogemustega
omanikujärelevalvet teostava vastutava spetsialisti abiga võimalik ennetada ning ka
jooksvalt lahendada. Koostatud magistritöö analüüsivas osas on kaardistatud seotud
osapoolte vahelisi ja seeläbi ka kogu ehitustegevust üldisemalt mõjutavad asjaolud,
samuti ka omanikujärelevalve mõju ja turuosaliste hinnang tema tegevusele. Esitatud
andmete põhjal on valdkonnaga seotud isikutel võimalik tutvuda teiste ehitussektori
osaliste seisukohtadega uurimuses käsitletud teemal ning teha seejuures järeldusi, mida
tuleks muuta iseenda, enda esindatava ettevõtte või organisatsiooni poolt aga ka
ehitussektoris üldisemalt, et tagada efektiivsem osapoolte vaheline koostöö ja seeläbi
parem teostatavate tööde lõpptulemus."
